"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"2","","7","","78","1","","0"
"0","","0","Challenge API - Lifecycle & CRUD","4","0","8. Delete / Archive Challenge","0"
"0","","0","Clubs Catalog","1","0","","0"
"0","","0","Challenge API - Lifecycle & CRUD","4","0","1. Get All Challenges","0"
"0","Profile","1","Profile Photo Upload","0","0","TC-62: Reject unsupported profile photo file format","0"
"0","Categories API","0","Security & RBAC","9","0","","0"
"0","","0","Club Registration API","1","0","Check Registration Status","0"
"0","","1","News","0","0","","0"
"0","","0","API","2","0","Archive","0"
"0","","0","Club Registration API","1","0","Register for Club — Negative","0"
"0","","0","Challenge API - Lifecycle & CRUD","4","0","5. Update Challenge Preview (PATCH)","0"
"0","","0","Version API","3","0","","0"
"0","","0","Club Registration API","1","0","Get User Applications — Schema Validation","0"
"0","","0","Registration","6","0","","0"
"0","","0","Challenge API - Lifecycle & CRUD","4","0","3. Create Challenge","0"
"0","","3","Clubs","1","0","Club search","0"
"0","","0","Fixtures","1","0","User vs manager credentials","0"
"0","","0","Challenge","5","0","","0"
"0","","0","Challenge API - Lifecycle & CRUD","4","0","4. Update Challenge (PUT)","0"
"0","","0","Add club basic info validation","1","0","","0"
"0","","0","Challenge API - Lifecycle & CRUD","4","0","6. Update Challenge Start Date","0"
"0","","0","Club Registration API","1","0","Check Registration Status — Edge Cases","0"
"0","","0","Challenge API - Lifecycle & CRUD","8","0","2. Get Challenge by ID","0"
"0","","0","Challenge Registration","9","0","","0"
"0","Center Management","1","Add Center","0","0","","0"
"0","Categories API","0","Read Categories","3","0","","0"
"0","","0","Club Registration API","1","0","Get User Children by Club — Schema Validation","0"
"0","","0","Add Club modal","1","0","TC-37: Checking the structure of 'Основна інформація' step","0"
"0","","0","News navigation","1","0","","0"
"0","","0","Add Club modal","1","0","TC-59: Verify 'Назад' navigation and data persistence between sections","0"
"0","","0","Successful Payment","1","0","","0"
"0","","0","Club Registration API","1","0","Register for Club — Schema Validation","0"
"0","","0","News Page","1","0","","0"
"0","Profile","0","Profile Last Name Update","1","0","TC-61: Reject Last Name with invalid special characters","0"
"1","Clubs","0","Club Comments","0","0","TC-20: Authenticated user can submit a complaint","0"
"0","","0","Club Registration API","1","0","Get User Applications","0"
"0","","0","Add Club modal","1","0","TC-60: Auto-assign 'Доступний онлайн' when no location is added","0"
"1","","0","Challenge","0","0","Speaking club challenge registration","0"
"0","","0","API","2","0","Login","0"
"0","","0","Payment page","1","0","","0"
"0","","0","Challenge API - Lifecycle & CRUD","4","0","7. Clone Challenge","0"
"0","","0","Login","1","0","","0"
"0","","0","Language Marathon","2","0","","0"
"0","","0","Club Registration API","1","0","Register for Club","0"
"1","","0","Fixtures","1","0","Authenticated driver roles","0"
"0","","1","Clubs","0","0","Advanced club search sorting","0"
"0","","0","Club Registration API","1","0","Get User Children by Club","0"
"0","","0","Club Registration API","1","0","Register User for Club — Schema Validation","0"
"0","","0","API","2","0","User","0"
"0","","0","Home Page Navigation","1","0","","0"
"0","","0","Update personal information","1","0","","0"
"0","","0","Club Registration API","1","0","Register User for Club","0"
