"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"2","","0","Fixtures","0","0","Authenticated driver roles","0"
"68","","0","","2","0","","0"
"1","","0","News","0","0","","0"
"1","","0","Add Club modal","0","0","TC-60: Auto-assign 'Доступний онлайн' when no location is added","0"
"2","","0","Language Marathon","0","0","","0"
"1","","0","Payment page","0","0","","0"
"6","","0","Challenge","0","0","","0"
"1","","0","Clubs Catalog","0","0","","0"
"6","","0","Registration","0","0","","0"
"1","","0","Update personal information","0","0","","0"
"0","","0","Fixtures","1","0","User vs manager credentials","0"
"4","","0","Clubs","0","0","Club search","0"
"1","","0","News navigation","0","0","","0"
"1","","0","Add Club modal","0","0","TC-37: Checking the structure of 'Основна інформація' step","0"
"9","Categories API","0","Security & RBAC","0","0","","0"
"2","","0","Challenge API - Lifecycle & CRUD","0","0","2. Get Challenge by ID","0"
"1","","0","News Page","0","0","","0"
"3","Categories API","0","Read Categories","0","0","","0"
"1","Center Management","0","Add Center","0","0","","0"
"1","Clubs","0","Club Comments","0","0","TC-20: Authenticated user can submit a complaint","0"
"1","","0","Successful Payment","0","0","","0"
"1","","0","Clubs","0","0","Advanced club search sorting","0"
"1","","0","Login","0","0","","0"
"1","","0","Add club basic info validation","0","0","","0"
"1","","0","Home Page Navigation","0","0","","0"
"1","","0","Challenge","0","0","Speaking club challenge registration","0"
"3","","0","Challenge API - Lifecycle & CRUD","0","0","1. Get All Challenges","0"
"1","Profile","0","Profile Photo Upload","0","0","TC-62: Reject unsupported profile photo file format","0"
"1","Profile","0","Profile Last Name Update","0","0","TC-61: Reject Last Name with invalid special characters","0"
"1","","0","Add Club modal","0","0","TC-59: Verify 'Назад' navigation and data persistence between sections","0"
