"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that opening a news card leads to the correct, fully rendered details page.","11173","TC-18: Opening a specific news article from the News page","tests","2026-08-30","passed","2026-08-30","","test_open_specific_news_article","",""
"Test verifies that the 'Наші контакти' block is displayed on the news page, has the correct title, and contains all required social media icons: Facebook, YouTube, Instagram, and Mail.","2382","TC-28: Verify 'Наші контакти' section display","tests","2026-08-30","passed","2026-08-30","","test_social_buttons_ui","",""
"Verify that the 'Навчай українською' challenge page displays the correct title, description paragraphs, social media links and donation button.","3565","TC-35: Verify challenge page content — title, description and header icons","tests","2026-08-30","passed","2026-08-30","TestChallengePageContent","test_challenge_page_content","",""
"Verify that the user can find a club by name.","4979","TC-27: Verify that the user can find a club by name","tests","2026-08-30","failed","2026-08-30","","test_clubs_page","",""
"Verify that entering an invalid password displays the correct validation error.","5794","TC-53 Verify registration password policy validation [Missing letters/special]","tests","2026-08-30","failed","2026-08-30","","test_sign_up","",""
"Verify that invalid search queries return no matching clubs.","6395","test_tc_51_club_search_negative","tests","2026-08-30","passed","2026-08-30","","test_51_club_search_negative","",""
"","3741","TC-55 Registration — phone format — Реєстрація modal (invalid phone format).","tests","2026-08-30","passed","2026-08-30","","test_sign_up","",""
"TC-37: Verify the structure and presence of elements in the 
    ""Основна інформація"" step of ""Додати гурток"" modal.

    Preconditions:
        - User is registered and logged into the Навчай Українською

    Test Steps:
        1. Open the ""Додати гурток"" form
        2. Verify the window title
        3. Verify the step indicator on the left
        4. Verify the ""Назва гуртка"" field
        5. Verify the ""Категорія"" section with 12 checkboxes
        6. Verify the ""Вік дитини"" section with ""Від"" and ""До"" fields
        7. Verify the ""Приналежність до центру"" dropdown
        8. Verify the ""Наступний крок"" button is active
    ","1840","test_add_club_modal_basic_info_structure","tests","2026-08-30","passed","2026-08-30","","test_add_club_modal","",""
"","3588","TC-56 Registration — password mismatch — Реєстрація modal (confirm ≠ password).","tests","2026-08-30","passed","2026-08-30","","test_sign_up","",""
"Verify that entering an invalid password displays the correct validation error.","6278","TC-53 Verify registration password policy validation [Length > 20]","tests","2026-08-30","failed","2026-08-30","","test_sign_up","",""
"Verify that users can navigate through the 30 language marathon tasks using next/previous arrows and pagination dots.","2482","TC-11: Task carousel navigation via arrows and pagination dots","tests","2026-08-30","passed","2026-08-30","TestMarathonTaskCarousel","test_marathon_task_carousel_navigation","",""
"","3926","TC-30: Verify that an authenticated user can send a message to a club manager","tests","2026-08-30","passed","2026-08-30","","test_club_details","",""
"Verify that entering an invalid password displays the correct validation error.","5790","TC-53 Verify registration password policy validation [Missing letters/digits]","tests","2026-08-30","failed","2026-08-30","","test_sign_up","",""
"Verify that 'Інші новини' carousel can be navigated using arrows.","5002","TC-24 Verify carousel navigation using left and right arrows","tests","2026-08-30","passed","2026-08-30","","test_news_details","",""
"Ensure both user and manager credentials are present in the environment.","0","test_user_and_manager_credentials_are_configured","tests","2026-08-30","passed","2026-08-30","","test_driver_roles","",""
"Verify that leaving a required registration field empty shows a validation error below that field and keeps the 'Зареєструватися' button disabled.","7255","TC-4: Registration — required field 'Телефон' left empty","tests","2026-08-30","passed","2026-08-30","","test_registration_required_field","",""
"Verify that an authenticated user can successfully fill out the 'Add Center' modal and reach the final step to submit the center.","16245","TC-58: Center creation functionality","tests","2026-08-30","failed","2026-08-30","","test_add_center","",""
"Verify that entering an invalid password displays the correct validation error.","5489","TC-53 Verify registration password policy validation [Missing lowercase]","tests","2026-08-30","failed","2026-08-30","","test_sign_up","",""
"TC-61: verify the Last Name field rejects invalid special characters.

        Test steps (from TC-61):
            1. Click ""Редагувати профіль"" - the modal opens.
            2. Clear ""Прізвище"", type invalid special characters and remove focus.
               A validation error appears, the border turns red, an error icon is
               shown and the save button remains active (no disabled attribute).
            3. Click ""Зберегти зміни"" - the form is not submitted, the modal stays
               open and the validation error is still displayed.
        ","9","test_last_name_rejects_special_characters","tests","2026-08-30","broken","2026-08-30","TestProfileLastNameUpdate","test_profile_last_name_update","",""
"","3494","TC-55 Registration — phone format — Реєстрація modal (invalid phone format).","tests","2026-08-30","passed","2026-08-30","","test_sign_up","",""
"Verify that entering an invalid email format in the 'Реєстрація' modal displays the validation error 'Некоректний формат email' and keeps the 'Зареєструватися' button enabled.","2573","TC-54: Verify registration with invalid email format","tests","2026-08-30","passed","2026-08-30","","test_sign_up","",""
"","3465","TC-55 Registration — phone format — Реєстрація modal (invalid phone format).","tests","2026-08-30","passed","2026-08-30","","test_sign_up","",""
"Test verifies that the Instagram icon on the news details page opens the project's official Instagram page in a new browser tab.","3867","TC-44: Verify Instagram social media link functionality","tests","2026-08-30","passed","2026-08-30","","test_social_buttons_ui","",""
"","5002","TC-39 Verify header navigation links redirect to the correct pages.","tests","2026-08-30","passed","2026-08-30","","test_nav_39","",""
"The manager driver boots a session with the manager API credentials.

    Args:
        authenticated_manager_driver: Browser signed in as the manager credentials.
        manager_session_driver: The API session issued for the manager credentials.
    ","135","test_authenticated_manager_driver_returns_manager_session","tests","2026-08-30","passed","2026-08-30","","test_driver_roles","",""
"Verify opening a news article from the list and returning back to the News page.","5182","TC-07: Navigation to the News details page","tests","2026-08-30","passed","2026-08-30","TestNewsDetailsNavigation","test_news_details_navigation","",""
"Test verifies that the email icon in the 'Наші контакти' section contains the correct project email address and uses a mailto link.","3413","TC-45: Verify email link functionality in contacts section","tests","2026-08-30","passed","2026-08-30","","test_social_buttons_ui","",""
"Verify that an unauthorized user cannot apply to the selected challenge and the disabled registration button displays the appropriate tooltip.","1295","TC-16: Unauthorized user cannot apply to the challenge using 'Записатися на челендж' button","tests","2026-08-30","passed","2026-08-30","TestUnauthorizedChallengeApplication","test_unauthorized_challenge_application","",""
"Verify title, amount, currency, express pay buttons, card form fields and submit button.","5105","TC-48: Verify payment page UI elements are displayed correctly","tests","2026-08-30","passed","2026-08-30","TestPaymentPageUI","test_payment_page_ui","",""
"Verify that entering an invalid password displays the correct validation error.","6243","TC-53 Verify registration password policy validation [Missing uppercase]","tests","2026-08-30","failed","2026-08-30","","test_sign_up","",""
"Verify homepage hero carousel navigation and its slide redirects.","5649","test_homepage_carousel_navigation","tests","2026-08-30","passed","2026-08-30","","test_home_carousel_navigation","",""
